Y,X1,X2,X3
30223840,191,860,184
405345248,662,781,784
549225200,725,904,838
147095040,640,321,716
263474862,798,467,707
1714920,31,120,461
256473360,564,795,572
136534652,677,397,508
188504500,425,670,662
146384419,331,947,467
1773639,63,47,599
65805850,146,745,605
59638488,637,249,376
27589555,521,623,85
112076811,407,423,651
201449970,963,570,367
7992048,124,492,131
127647373,259,547,901
404762904,978,546,758
1401280,464,10,302
53510466,138,733,529
213958811,443,913,529
307392939,699,903,487
210282176,416,961,526
841698,429,9,218
12543660,445,54,522
72052137,967,487,153
13543390,119,599,190
5053352,292,509,34
6202560,52,420,284
17465936,628,68,409
55112025,575,743,129
34575093,633,357,153
682781400,810,892,945
371255248,742,566,884
38975391,203,547,351
9278100,793,130,90
1852176,821,141,16
78565760,568,532,260
190446876,486,813,482
20022940,595,179,188
87809400,189,920,505
15810432,209,197,384
82138336,596,184,749
102503272,212,914,529
19174870,121,598,265
147914790,685,986,219
681374408,902,796,949
23120640,669,160,216
37462376,959,257,152
199763256,317,968,651
31720,61,13,40
46013940,999,196,235
168283170,495,909,374
4927650,247,38,525
14999424,32,804,583
181978668,811,542,414
250125,87,25,115
10478916,21,996,501
151736340,511,980,303
393269310,753,630,829
70004640,480,373,391
123740110,949,170,767
136139724,279,518,942
19776512,434,128,356
233376,34,286,24
106765888,664,202,796
111434400,804,385,360
19191504,24,986,811
338817600,690,930,528
195160,820,119,2
3947559,743,21,253
13144730,134,115,853
869264,11,88,898
17559423,651,27,999
75435975,565,215,621
2292612,588,7,557
34924932,531,203,324
737571510,873,871,970
149453724,257,644,903
132122760,553,362,660
58983912,754,159,492
204970896,468,982,446
8994531,39,701,329
121137408,448,333,812
35742,222,7,23
23226840,468,709,70
40155360,629,224,285
2445568,16,656,233
402072762,609,758,871
29632962,313,509,186
49854132,212,901,261
60855530,677,890,101
28208574,279,246,411
169871580,549,955,324
10011708,126,323,246
162677493,407,801,499
56195730,557,855,118
5446125,235,103,225
273474920,820,578,577
8818524,52,571,297
44629200,770,72,805
200382336,567,704,502
428445570,555,823,938
129698115,635,309,661
3537878,617,122,47
11262888,819,191,72
28776600,675,146,292
117867456,713,369,448
10518560,169,80,778
20250052,631,71,452
235705335,489,745,647
9022296,53,492,346
12635760,76,815,204
59818584,904,483,137
22700328,199,168,679
396245000,860,475,970
63886272,444,184,782
56141960,305,532,346
243746972,854,406,703
247484160,810,341,896
661146108,787,876,959
560344048,737,779,976
116460960,322,528,685
3059690,230,251,53
38372400,561,720,95
305419167,797,747,513
193333560,590,498,658
125017080,740,222,761
46563840,215,288,752
125501590,907,505,274
535564680,942,917,620
17400340,235,692,107
5840296,998,133,44
61583028,247,526,474
160160,104,7,220
101693280,645,379,416
119555730,918,305,427
85208490,802,135,787
315796080,578,785,696
295780068,636,779,597
138146316,154,974,921
47816512,619,136,568
19360848,23,988,852
36347646,173,582,361
438455040,908,960,503
22543952,674,226,148
2323170,933,30,83
299472912,488,618,993
8452340,19,590,754
91642950,630,619,235
195904500,750,682,383
24699876,492,823,61
143346294,941,234,651
97312475,545,533,335
138255000,250,709,780
83169100,241,595,580
28557552,474,443,136
36697455,513,753,95
279268080,456,910,673
151338528,737,496,414
10453800,700,262,57
644255040,912,988,715
3440448,72,724,66
397885000,755,527,1000
114454944,648,492,359
297867207,709,439,957
4906440,177,385,72
8024445,387,143,145
185280722,731,451,562
75899395,755,481,209
137948265,591,741,315
25584624,692,468,79
76900384,142,724,748
2311100,25,242,382
8372155,905,841,11
48520890,135,374,961
2566368,804,24,133
965020,4,565,427
106355312,152,943,742
25134704,614,476,86
45847621,499,139,661
38260200,440,341,255
70624960,320,287,769
4668652,167,482,58
30022656,928,96,337
460228608,672,984,696
15144678,166,981,93
433949740,865,644,779
316627866,942,531,633
449712,8,162,347
97668585,945,733,141
38923820,260,529,283
91700392,332,362,763
49258096,331,524,284
62391836,163,884,433
10335206,113,658,139
191190175,451,775,547
455671528,722,916,689
8160768,276,231,128
18580800,790,80,294
33526220,338,910,109
96589350,570,429,395
154576224,352,531,827
282589656,852,766,433
70626261,699,529,191
304108605,465,831,787
166619616,696,617,388
32734881,261,291,431
96120231,543,773,229
106751778,339,542,581
434217077,659,791,833
16791192,74,396,573
5325080,764,41,170
7467912,618,318,38
143096818,521,382,719
106680546,777,934,147
37296798,179,847,246
67089960,840,237,337
31621984,127,251,992
3981348,294,61,222
301050960,476,830,762
153265932,772,387,513
23380032,741,32,986
149859920,488,535,574
135087648,951,193,736
270809946,783,869,398
74722104,311,376,639
87091935,357,503,485
26779368,337,231,344
176709852,678,726,359
150312240,636,606,390
43814592,116,387,976
263573024,956,572,482
17256052,706,202,121
25020600,892,30,935
405513920,476,920,926
75618672,496,267,571
10020864,224,932,48
126646380,830,346,441
287167104,596,672,717
112006320,591,920,206
165943800,425,612,638
546208,13,208,202
830414,38,533,41
641585,805,797,1
426692448,567,936,804
51582692,119,959,452
94966080,935,192,529
22407000,35,825,776
391350330,981,410,973
129072132,444,763,381
8170848,28,756,386
1342692,494,906,3
64886976,418,924,168
195152775,425,569,807
12272295,283,147,295
48095510,179,554,485
13163535,87,165,917
11444112,118,449,216
15911100,213,180,415
72583510,389,794,235
45613854,297,179,858
24308244,369,172,383
14502272,64,827,274
2235240,14,887,180
2848740,601,316,15
434106288,952,846,539
189666360,395,513,936
12675663,39,539,603
25658616,516,94,529
6458130,34,567,335
59390464,908,896,73
11107800,726,225,68
42419590,115,646,571
393697908,999,801,492
327038922,497,789,834
117099200,200,898,652
224684460,473,522,910
142228016,574,376,659
94219550,905,359,290
28775424,304,408,232
19426528,88,482,458
15543000,440,785,45
32684784,601,103,528
188134245,405,559,831
6531840,192,135,252
2538720,86,492,60
788565186,906,873,997
62082120,292,570,373
381368000,965,400,988
68524660,178,562,685
154518144,704,471,466
84259182,574,293,501
184229190,705,291,898
37484820,516,167,435
147122700,159,974,950
271848960,540,736,684
8201200,25,464,707
106682242,493,257,842
120706560,585,512,403
8304768,32,324,801
326987136,448,774,943
186888768,528,827,428
197660160,640,746,414
69071130,538,951,135
79144240,217,940,388
206538120,279,930,796
28996210,167,895,194
29133200,200,173,842
178841376,342,784,667
501714412,967,859,604
15009072,402,359,104
51166560,536,645,148
174550648,586,452,659
70390758,771,239,382
10890308,869,964,13
6025698,513,839,14
237254472,739,364,882
60424560,456,631,210
129668000,421,875,352
516176292,839,668,921
720927680,880,946,866
466440,4,897,130
49521900,431,766,150
1845261,297,57,109
91433660,185,787,628
126664720,548,508,455
223163248,458,539,904
246657400,440,587,955
56049672,444,994,127
92150190,710,759,171
23175772,107,692,313
20691000,38,900,605
260257788,483,996,541
6033510,30,471,427
153959148,526,322,909
3216554,293,998,11
162955650,535,426,715
38825824,272,298,479
178645260,515,633,548
159016000,325,695,704
60173980,257,509,460
8015051,517,419,37
702517650,911,795,970
169018056,927,428,426
767382336,931,848,972
38135457,471,591,137
195372800,490,712,560
74657268,628,629,189
108019980,509,810,262
194016556,563,404,853
77011968,424,528,344
60150060,835,207,348
89057280,390,892,256
49641636,83,759,788
13019202,522,509,49
95383332,242,811,486
49308308,581,196,433
370371204,569,861,756
9356307,479,51,383
24277032,468,74,701
139662165,755,197,939
30909424,676,46,994
131924880,984,246,545
14643120,60,629,388
210767700,850,289,858
93994152,392,933,257
33866112,903,293,128
33594499,493,821,83
62530740,148,687,615
23334045,599,245,159
5906480,680,43,202
3800736,27,424,332
9137920,649,256,55
696780,12,245,237
152659965,555,467,589
335361408,834,976,412
81213552,713,126,904
113070026,766,457,323
28756266,929,938,33
753473864,884,901,946
281454810,917,787,390
96871690,817,334,355
396649464,809,659,744
53075208,487,717,152
105731106,611,906,191
80945991,573,961,147
94500,6,450,35
31906602,559,453,126
161112510,699,394,585
142167582,409,942,369
9634104,153,68,926
8049216,12,742,904
77841729,423,889,207
329432250,875,958,393
251103288,628,647,618
46972215,237,543,365
8938902,358,203,123
351369278,754,727,641
206253540,444,837,555
15742650,235,154,435
200739000,1000,869,231
14750544,93,862,184
2679750,794,675,5
64086390,745,118,729
54154332,926,162,361
793260,27,260,113
42857100,481,891,100
303819750,585,850,611
81273168,848,207,463
223851600,810,329,840
207413910,649,603,530
27440952,124,231,958
5135130,418,63,195
275435364,563,691,708
211062720,726,316,920
180771030,391,495,934
169818012,444,467,819
279118455,869,437,735
185171712,953,368,528
149053500,905,900,183
197912550,570,535,649
103459200,416,829,300
16015328,71,266,848
213794331,601,419,849
102286422,602,609,279
22486500,38,789,750
56231760,536,538,195
134383920,654,440,467
319917000,631,1000,507
17000704,742,716,32
215270625,555,725,535
29609657,547,77,703
205603200,354,600,968
52046424,212,593,414
23748480,744,56,570
71875230,322,647,345
130926400,173,946,800
80326400,770,128,815
241703000,1000,301,803
8611812,594,659,22
50918420,821,70,886
300365560,916,605,542
317897096,761,517,808
21243060,188,729,155
109385640,180,637,954
24563448,728,207,163
90720000,756,250,480
196724073,791,911,273
185396526,978,413,459
30352624,454,137,488
121575168,132,936,984
36518540,797,316,145
261538200,888,385,765
105240608,818,136,946
34346256,68,588,859
37013949,553,333,201
289111680,507,704,810
50960988,148,351,981
355269600,798,742,600
347608040,755,988,466
66922445,137,755,647
118055133,747,749,211
824368,769,268,4
5522400,472,78,150
172033239,903,703,271
105484920,634,235,708
18032300,220,845,97
344740077,981,759,463
1891186,517,118,31
93852033,281,349,957
20440770,545,658,57
287999712,962,378,792
23374407,497,257,183
294198124,901,362,902
2314720,296,782,10
45245632,802,82,688
11010934,187,499,118
6241020,860,59,123
320749096,542,788,751
482153850,843,775,738
115650864,476,397,612
67275750,271,993,250
209300665,239,917,955
45347274,959,666,71
23891651,707,47,719
19924320,96,515,403
425383056,863,504,978
7329042,161,162,281
20584000,400,124,415
350512800,935,480,781
98605296,248,666,597
526849014,718,831,883
70878192,254,906,308
174642624,832,281,747
195822000,550,460,774
25596855,31,885,933
125104716,558,474,473
7098000,500,156,91
4717440,105,416,108
15402660,169,651,140
4703292,963,444,11
7895058,258,431,71
113788152,716,981,162
19550,1,425,46
49822890,317,930,169
127976100,409,525,596
3304440,24,335,411
310563572,773,506,794
21961188,97,662,342
22332865,149,155,967
13957875,125,171,653
20016500,817,98,250
199943640,360,909,611
16272009,663,303,81
256782636,661,594,654
322561200,713,580,780
44626547,101,799,553
47651508,142,543,618
26428140,449,436,135
81706250,125,769,850
109455225,825,181,733
170151555,493,519,665
4599168,708,29,224
68573568,526,388,336
268742460,969,490,566
94663459,397,583,409
11893068,423,198,142
8853600,20,465,952
3084480,21,510,288
67841400,760,165,541
34331200,430,499,160
187482969,309,789,769
463961064,987,877,536
109859108,178,733,842
364110080,577,928,680
13136728,121,331,328
29009058,141,533,386
59765607,257,729,319
30897800,346,470,190
81967632,453,526,344
92242800,486,650,292
7344216,22,396,843
317122560,465,768,888
82308520,244,427,790
189878636,398,526,907
16704000,180,400,232
191722000,500,514,746
246716800,440,815,688
13184850,58,433,525
385577192,979,728,541
60256560,78,868,890
294354744,769,492,778
500094,14,49,729
23623488,651,432,84
272735936,656,484,859
8573370,26,445,741
72353655,327,447,495
319600,16,85,235
163951230,563,510,571
44009952,829,336,158
187548669,531,363,973
21186000,150,330,428
98043372,622,378,417
86371128,194,596,747
83301372,189,742,594
130085172,606,269,798
59007816,194,639,476
359347584,732,529,928
83123040,624,770,173
25880052,607,66,646
275186862,474,771,753
62368784,467,491,272
394605756,929,684,621
46290286,289,238,673
560794500,798,750,937
192137280,263,960,761
192741570,973,710,279
55036260,641,954,90
124568290,955,539,242
328576500,900,665,549
10189647,109,117,799
154127820,914,803,210
434841446,607,767,934
29145600,495,736,80
153638100,210,739,990
189252228,374,726,697
15050508,51,836,353
448121232,774,988,586
19217016,84,546,419
188372800,556,847,400
60860940,735,326,254
23095800,180,273,470
60496128,132,682,672
31223808,384,924,88
86138864,562,184,833
385358148,837,783,588
6859594,134,497,103
27171448,326,268,311
110740140,982,630,179
6251648,169,128,289
150367360,806,212,880
164882634,417,926,427
63117600,130,714,680
31007988,99,516,607
74102400,744,150,664
1212057,53,847,27
364032000,512,1000,711
52011500,425,422,290
17278290,85,982,207
137311524,756,837,217
283392000,738,512,750
88581878,322,281,979
8221488,46,677,264
146195340,492,887,335
110800528,386,677,424
33515040,655,624,82
9582237,51,483,389
143218972,793,277,652
89833744,572,497,316
102492416,736,824,169
183155580,677,540,501
98415594,822,251,477
96226812,757,297,428
287249000,850,554,610
61523712,216,344,828
32129104,766,392,107
195664128,759,304,848
104312472,649,296,543
244836328,487,788,638
10867168,52,346,604
40641760,95,922,464
100684132,289,694,502
141026688,718,558,352
63115605,905,243,287
5654880,224,153,165
73911852,324,639,357
73728685,677,115,947
3878304,32,569,213
37301769,801,129,361
104143260,438,403,590
291873680,713,688,595
546655140,956,655,873
91483392,416,833,264
139194000,825,703,240
62854584,598,228,461
74379600,852,900,97
199188780,687,380,763
8331576,33,418,604
112401828,943,308,387
251872500,781,500,645
45905519,199,313,737
21865680,180,159,764
37434112,496,89,848
423609480,685,756,818
58179840,872,240,278
4461324,614,21,346
10018800,330,220,138
60969636,148,819,503
160630275,551,345,845
153463950,475,579,558
1341438,133,82,123
516238192,911,662,856
186396175,919,305,665
74446944,319,442,528
166646043,487,579,591
27367470,69,702,565
327881125,415,845,935
552053605,929,757,785
12451428,892,99,141
37245912,386,258,374
7794175,155,89,565
3558408,359,42,236
79868244,166,534,901
8837962,53,554,301
985071888,996,993,996
79482480,552,847,170
79951872,676,462,256
356524840,805,664,667
14290584,33,703,616
176783520,552,478,670
90815160,303,472,635
203132160,352,630,916
111781980,657,940,181
11706240,160,273,268
13391560,566,140,169
15683360,380,77,536
160177600,380,958,440
73689700,92,995,805
9637280,67,160,899
73076850,399,225,814
5277657,67,847,93
164478384,252,654,998
144088560,791,495,368
73698408,356,318,651
25407066,146,213,817
50905512,307,188,882
48098304,384,408,307
67604040,695,252,386
51824593,503,197,523
220499160,808,345,791
43008966,154,429,651
97500096,228,708,604
14963392,568,37,712
34615000,115,344,875
13833116,58,814,293
35193680,92,617,620
134051925,515,335,777
206694936,662,708,441
120753160,605,409,488
25797030,763,690,49
86935680,288,351,860
23622095,493,259,185
15723708,476,847,39
4160160,144,90,321
36194340,947,60,637
415641096,989,936,449
47876400,585,124,660
8616132,81,406,262
20400666,286,767,93
158405382,794,243,821
14133288,156,97,934
47427315,353,689,195
2882161,97,43,691
13131300,37,650,546
336316365,961,385,909
43202950,742,137,425
35620560,478,648,115
223556385,669,485,689
23069580,942,790,31
51396352,184,344,812
25253466,51,626,791
242452320,977,264,940
532773680,779,824,830
4433520,52,245,348
134445612,373,613,588
423120,123,4,860
5998248,9,734,908
55436528,133,436,956
66886908,374,246,727
12868488,974,36,367
165298650,213,935,830
176960735,391,965,469
166745625,339,787,625
33652800,475,328,216
9664200,585,295,56
13317120,120,544,204
172045848,884,199,978
382297952,776,548,899
4212081,349,447,27
179370800,329,940,580
217961286,479,543,838
24231354,201,553,218
11147808,42,626,424
5043600,934,135,40
18795112,518,94,386
67933824,112,796,762
1723967,233,151,49
1061760,42,80,316
174019720,739,290,812
2277828,483,262,18
246383040,680,372,974
55184040,170,426,762
4568310,90,193,263
3446550,23,222,675
15923628,49,708,459
60533535,565,503,213
87313525,137,925,689
317269904,361,944,931
22085448,259,408,209
73678200,281,575,456
5141248,448,19,604
212093200,295,880,817
9882500,67,590,250
66923220,721,357,260
186845625,375,885,563
46738868,233,388,517
36065568,357,902,112
23056488,364,782,81
144809600,767,944,200
181952330,955,434,439
63350289,369,643,267
190381114,406,907,517
137698470,546,989,255
213748373,397,607,887
102799224,474,341,636
24167572,167,286,506
17510256,236,324,229
131854528,878,361,416
31506668,569,508,109
484639988,581,868,961
55825068,898,797,78
209117330,571,691,530
338071240,533,785,808
214984560,588,505,724
124898400,913,360,380
122575230,915,269,498
359970585,967,415,897
76226416,368,889,233
4404048,439,152,66
19048540,379,140,359
90371424,454,377,528
712908,14,54,943
147840680,401,520,709
103188588,626,498,331
115614862,407,346,821
3438820,770,7,638
36668775,825,263,169
520000,125,104,40
68810040,156,522,845
56421144,142,702,566
14981004,326,111,414
33840000,94,450,800
348856950,435,806,995
269450986,731,466,791
319942840,905,856,413
164766940,467,460,767
106508556,499,847,252
293674944,722,608,669
25779481,109,791,299
108558195,445,349,699
178858953,471,507,749
18566040,380,479,102
24454530,387,710,89
1651608,791,6,348
249172389,349,837,853
67476948,721,709,132
120006744,958,146,858
153468072,614,393,636
71910,5,141,102
50948352,288,546,324
201982500,955,235,900
71609670,891,95,846
30756675,895,79,435
32869920,930,752,47
73997550,363,675,302
2006472,218,52,177
32623200,50,828,788
232199240,845,701,392
42892416,378,288,394
5595480,396,157,90
17031840,240,74,959
43309269,603,807,89
15403584,314,73,672
224511600,400,687,817
79810176,921,677,128
33929391,571,87,683
16224000,300,338,160
502858260,815,788,783
133066080,602,720,307
4858704,184,978,27
28808892,719,252,159
355800920,769,538,860
14632000,472,50,620
32804100,630,635,82
35884800,445,126,640
2049300,825,108,23
32169816,348,651,142
27107382,219,398,311
179098026,951,382,493
284780379,507,799,703
19778475,859,921,25
30156192,501,66,912
197502180,669,580,509
35589075,103,813,425
157788540,494,702,455
12675096,378,404,83
978336,158,9,688
146559375,625,965,243
13574220,785,524,33
223752776,934,442,542
444415310,818,563,965
387948096,922,432,974
14400,3,160,30
259614624,929,984,284
131167368,333,424,929
149844450,350,703,609
317801200,452,790,890
7923734,442,197,91
239379624,473,648,781
323931816,734,828,533
754920,27,120,233
235089456,436,686,786
194214312,531,698,524
505166376,762,836,793
501920540,814,985,626
45132164,322,554,253
111119976,519,264,811
208337220,483,948,455
26069568,489,98,544
9412704,21,552,812
476979633,603,923,857
5935680,480,687,18
48211200,100,837,576
387548608,916,496,853
247943301,447,899,617
75387060,282,798,335
307071,223,9,153
82271000,511,644,250
461117745,627,831,885
6660872,578,268,43
162431850,565,777,370
300919680,534,587,960
101109744,309,816,401
46352032,872,388,137
44710120,130,692,497
27676242,837,198,167
121736629,229,931,571
126251136,594,864,246
102824925,205,595,843
161305200,450,692,518
25679808,308,432,193
534600,99,150,36
209846832,596,962,366
13467300,420,583,55
14695422,158,721,129
110410976,304,793,458
23094072,471,54,908
32587200,225,292,496
19367460,126,190,809
25260235,637,385,103
677544,296,763,3
804520185,995,973,831
5325760,34,178,880
33771780,63,547,980
169018122,602,299,939
108662994,446,963,253
4089904,689,742,8
519635872,952,782,698
5189632,181,512,56
204258396,337,636,953
505959432,879,844,682
14353668,147,948,103
14926032,216,198,349
300259575,693,545,795
32288320,736,205,214
132596310,770,941,183
23330304,366,384,166
253328292,674,942,399
312768960,980,366,872
125297920,704,220,809
619799040,980,648,976
374500925,589,725,877
79759200,200,668,597
17191647,823,33,633
22282977,79,563,501
301104,164,27,68
15309996,78,782,251
163704450,358,975,469
82213248,383,624,344
2851368,703,338,12
3027948,226,58,231
386195040,880,486,903
13768656,534,293,88
14128128,84,384,438
62228754,591,483,218
120616416,786,278,552
3799715,893,851,5
49378360,214,695,332
270852714,927,418,699
290982720,665,636,688
1733130,131,189,70
151842976,677,326,688
654750,45,485,30
241410182,482,653,767
50088840,856,141,415
587510352,824,858,831
51912000,750,412,168
89873961,591,631,241
141313536,337,936,448
188036160,456,610,676
78760188,598,271,486
346103040,467,960,772
204792,212,21,46
271845325,547,965,515
191147365,835,269,851
306927650,566,545,995
38380356,93,867,476
117365280,757,969,160
197370360,506,788,495
154192752,332,532,873
57653577,801,167,431
69093457,521,493,269
14482314,387,693,54
7710960,722,15,712
538996900,650,986,841
81578496,256,519,614
344452554,926,621,599
24007648,251,488,196
185905800,692,597,450
67907808,738,648,142
42073440,851,309,160
99294304,788,829,152
55975968,222,408,618
260412132,554,471,998
297819850,725,701,586
39271023,151,781,333
9064440,327,40,693
186276310,781,782,305
412160112,886,639,728
124862368,824,881,172
29248000,200,914,160
470930859,639,889,829
6601392,826,108,74
517333215,903,745,769
45300291,493,281,327
154576380,406,518,735
44350860,718,290,213
207888,1,488,426
71373636,981,258,282
137105136,294,508,918
38115360,173,272,810
22931920,460,206,242
35324982,77,662,693
386277180,951,883,460
186545139,957,397,491
2194500,266,275,30
100031004,997,929,108
15186400,656,926,25
3554070,26,195,701
106247350,851,227,550
800088,74,34,318
232848,126,28,66
27117680,838,40,809
34553344,311,112,992
152589536,902,872,194
444222000,552,925,870
480304496,724,817,812
105902588,374,671,422
92369160,387,340,702
25522560,135,448,422
26242048,112,523,448
9515660,835,154,74
1754298,819,18,119
46281720,285,383,424
275718480,460,753,796
1791168,16,114,982
3100977,297,197,53
339635815,709,643,745
395967000,845,710,660
293795436,946,573,542
48909000,170,420,685
309227100,987,964,325
586638414,969,943,642
259637400,620,810,517
581750,650,5,179
132678936,619,229,936
840788000,920,988,925
6407232,104,408,151
96932682,873,539,206
36007020,170,574,369
33490722,958,813,43
1409850,117,50,241
364046704,952,526,727
682964940,997,932,735
11777934,686,291,59
219436,461,17,28
22792644,292,413,189
20662845,553,235,159
3582810,42,235,363
44296758,207,274,781
232885312,748,638,488
9427887,63,249,601
404092,19,52,409
76992513,169,543,839
98630112,463,951,224
12426142,811,163,94
124554240,477,512,510
42653520,637,124,540
7120828,118,422,143
13666320,162,114,740
147731904,918,376,428
89735360,130,814,848
42519568,116,742,494
3078770,157,530,37
1790910,67,594,45
139390692,298,777,602
9776288,46,296,718
113907164,148,791,973
418398659,791,547,967
455731172,841,884,613
177620535,997,555,321
8398768,217,59,656
18234405,541,749,45
48391200,330,312,470
29405600,140,590,356
72979200,240,840,362
37571170,53,910,779
919336,88,337,31
116255688,309,718,524
186120,9,440,47
148723776,432,876,393
14100240,218,84,770
106743900,915,190,614
153201000,458,446,750
16869264,152,698,159
2580532,17,277,548
1486940,35,559,76
87300801,437,441,453
81427680,732,412,270
53061556,466,289,394
47369280,636,266,280
111006480,390,376,757
150728760,819,428,430
72090366,303,674,353
80492332,239,538,626
398937904,964,674,614
8115188,34,911,262
369588495,529,705,991
63636300,185,455,756
512036660,716,785,911
